license_id,license_name,license_url,permissiveness_score,normalized,security_risk
126,Abstyles License,https://spdx.org/licenses/Abstyles.html,,Abstyles,
127,Adobe Systems Incorporated Source Code License Agreement,https://spdx.org/licenses/Adobe-2006.html,,Adobe-2006,
128,Adobe Glyph List License,https://spdx.org/licenses/Adobe-Glyph.html,,Adobe-Glyph,
129,Amazon Digital Services License,https://spdx.org/licenses/ADSL.html,,ADSL,
130,Academic Free License v1.1,https://spdx.org/licenses/AFL-1.1.html,,AFL-1.1,
131,Academic Free License v1.2,https://spdx.org/licenses/AFL-1.2.html,,AFL-1.2,
132,Academic Free License v2.0,https://spdx.org/licenses/AFL-2.0.html,,AFL-2.0,
133,Academic Free License v2.1,https://spdx.org/licenses/AFL-2.1.html,,AFL-2.1,
134,Afmparse License,https://spdx.org/licenses/Afmparse.html,,Afmparse,
135,Affero General Public License v1.0 only,https://spdx.org/licenses/AGPL-1.0-only.html,,AGPL-1.0-only,
136,Affero General Public License v1.0 or later,https://spdx.org/licenses/AGPL-1.0-or-later.html,,AGPL-1.0-or-later,
137,GNU Affero General Public License v3.0 only,https://spdx.org/licenses/AGPL-3.0-only.html,,AGPL-3.0-only,
138,GNU Affero General Public License v3.0 or later,https://spdx.org/licenses/AGPL-3.0-or-later.html,,AGPL-3.0-or-later,
139,Aladdin Free Public License,https://spdx.org/licenses/Aladdin.html,,Aladdin,
140,"AMD\s plpa_map.c License""",https://spdx.org/licenses/AMDPLPA.html,,AMDPLPA,
141,Apple MIT License,https://spdx.org/licenses/AML.html,,AML,
142,Academy of Motion Picture Arts and Sciences BSD,https://spdx.org/licenses/AMPAS.html,,AMPAS,
143,ANTLR Software Rights Notice,https://spdx.org/licenses/ANTLR-PD.html,,ANTLR-PD,
144,Apache License 1.0,https://spdx.org/licenses/Apache-1.0.html,,Apache-1.0,
145,Adobe Postscript AFM License,https://spdx.org/licenses/APAFML.html,,APAFML,
146,Apple Public Source License 1.0,https://spdx.org/licenses/APSL-1.0.html,,APSL-1.0,
147,Apple Public Source License 1.1,https://spdx.org/licenses/APSL-1.1.html,,APSL-1.1,
148,Apple Public Source License 1.2,https://spdx.org/licenses/APSL-1.2.html,,APSL-1.2,
149,Artistic License 1.0 w/clause 8,https://spdx.org/licenses/Artistic-1.0-cl8.html,,Artistic-1.0-cl8,
150,Artistic License 1.0 (Perl),https://spdx.org/licenses/Artistic-1.0-Perl.html,,Artistic-1.0-Perl,
151,Bahyph License,https://spdx.org/licenses/Bahyph.html,,Bahyph,
152,Barr License,https://spdx.org/licenses/Barr.html,,Barr,
153,Beerware License,https://spdx.org/licenses/Beerware.html,,Beerware,
154,BitTorrent Open Source License v1.0,https://spdx.org/licenses/BitTorrent-1.0.html,,BitTorrent-1.0,
155,BitTorrent Open Source License v1.1,https://spdx.org/licenses/BitTorrent-1.1.html,,BitTorrent-1.1,
156,SQLite Blessing,https://spdx.org/licenses/blessing.html,,blessing,
157,Blue Oak Model License 1.0.0,https://spdx.org/licenses/BlueOak-1.0.0.html,,BlueOak-1.0.0,
158,Borceux license,https://spdx.org/licenses/Borceux.html,,Borceux,
159,BSD-2-Clause Plus Patent License,https://spdx.org/licenses/BSD-2-Clause-Patent.html,,BSD-2-Clause-Patent,
160,BSD 2-Clause with views sentence,https://spdx.org/licenses/BSD-2-Clause-Views.html,,BSD-2-Clause-Views,
161,BSD with attribution,https://spdx.org/licenses/BSD-3-Clause-Attribution.html,,BSD-3-Clause-Attribution,
162,BSD 3-Clause Clear License,https://spdx.org/licenses/BSD-3-Clause-Clear.html,,BSD-3-Clause-Clear,
163,BSD 3-Clause No Nuclear License,https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License.html,,BSD-3-Clause-No-Nuclear-License,
164,BSD 3-Clause No Nuclear License 2014,https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License-2014.html,,BSD-3-Clause-No-Nuclear-License-2014,
165,BSD 3-Clause No Nuclear Warranty,https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-Warranty.html,,BSD-3-Clause-No-Nuclear-Warranty,
166,BSD 3-Clause Open MPI variant,https://spdx.org/licenses/BSD-3-Clause-Open-MPI.html,,BSD-3-Clause-Open-MPI,
167,"BSD 4-Clause ""Original"" or ""Old"" License",https://spdx.org/licenses/BSD-4-Clause.html,,BSD-4-Clause,
168,BSD-4-Clause (University of California-Specific),https://spdx.org/licenses/BSD-4-Clause-UC.html,,BSD-4-Clause-UC,
169,BSD Protection License,https://spdx.org/licenses/BSD-Protection.html,,BSD-Protection,
170,BSD Source Code Attribution,https://spdx.org/licenses/BSD-Source-Code.html,,BSD-Source-Code,
171,bzip2 and libbzip2 License v1.0.5,https://spdx.org/licenses/bzip2-1.0.5.html,,bzip2-1.0.5,
172,bzip2 and libbzip2 License v1.0.6,https://spdx.org/licenses/bzip2-1.0.6.html,,bzip2-1.0.6,
173,Cryptographic Autonomy License 1.0 (Combined Work Exception),https://spdx.org/licenses/CAL-1.0-Combined-Work-Exception.html,,CAL-1.0-Combined-Work-Exception,
174,Caldera License,https://spdx.org/licenses/Caldera.html,,Caldera,
175,Creative Commons Attribution 1.0 Generic,https://spdx.org/licenses/CC-BY-1.0.html,,CC-BY-1.0,
176,Creative Commons Attribution 2.0 Generic,https://spdx.org/licenses/CC-BY-2.0.html,,CC-BY-2.0,
177,Creative Commons Attribution 2.5 Generic,https://spdx.org/licenses/CC-BY-2.5.html,,CC-BY-2.5,
178,Creative Commons Attribution 3.0 Unported,https://spdx.org/licenses/CC-BY-3.0.html,,CC-BY-3.0,
179,Creative Commons Attribution 3.0 Austria,https://spdx.org/licenses/CC-BY-3.0-AT.html,,CC-BY-3.0-AT,
180,Creative Commons Attribution 4.0 International,https://spdx.org/licenses/CC-BY-4.0.html,,CC-BY-4.0,
181,Creative Commons Attribution Non Commercial 1.0 Generic,https://spdx.org/licenses/CC-BY-NC-1.0.html,,CC-BY-NC-1.0,
182,Creative Commons Attribution Non Commercial 2.0 Generic,https://spdx.org/licenses/CC-BY-NC-2.0.html,,CC-BY-NC-2.0,
183,Creative Commons Attribution Non Commercial 2.5 Generic,https://spdx.org/licenses/CC-BY-NC-2.5.html,,CC-BY-NC-2.5,
184,Creative Commons Attribution Non Commercial 3.0 Unported,https://spdx.org/licenses/CC-BY-NC-3.0.html,,CC-BY-NC-3.0,
185,Creative Commons Attribution Non Commercial 4.0 International,https://spdx.org/licenses/CC-BY-NC-4.0.html,,CC-BY-NC-4.0,
186,Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,https://spdx.org/licenses/CC-BY-NC-ND-1.0.html,,CC-BY-NC-ND-1.0,
187,Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,https://spdx.org/licenses/CC-BY-NC-ND-2.0.html,,CC-BY-NC-ND-2.0,
188,Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,https://spdx.org/licenses/CC-BY-NC-ND-2.5.html,,CC-BY-NC-ND-2.5,
189,Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,https://spdx.org/licenses/CC-BY-NC-ND-3.0.html,,CC-BY-NC-ND-3.0,
190,Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,https://spdx.org/licenses/CC-BY-NC-ND-3.0-IGO.html,,CC-BY-NC-ND-3.0-IGO,
191,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,https://spdx.org/licenses/CC-BY-NC-ND-4.0.html,,CC-BY-NC-ND-4.0,
192,Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,https://spdx.org/licenses/CC-BY-NC-SA-1.0.html,,CC-BY-NC-SA-1.0,
193,Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,https://spdx.org/licenses/CC-BY-NC-SA-2.0.html,,CC-BY-NC-SA-2.0,
194,Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,https://spdx.org/licenses/CC-BY-NC-SA-2.5.html,,CC-BY-NC-SA-2.5,
195,Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,https://spdx.org/licenses/CC-BY-NC-SA-3.0.html,,CC-BY-NC-SA-3.0,
196,Creative Commons Attribution Non Commercial Share Alike 4.0 International,https://spdx.org/licenses/CC-BY-NC-SA-4.0.html,,CC-BY-NC-SA-4.0,
197,Creative Commons Attribution No Derivatives 1.0 Generic,https://spdx.org/licenses/CC-BY-ND-1.0.html,,CC-BY-ND-1.0,
198,Creative Commons Attribution No Derivatives 2.0 Generic,https://spdx.org/licenses/CC-BY-ND-2.0.html,,CC-BY-ND-2.0,
199,Creative Commons Attribution No Derivatives 2.5 Generic,https://spdx.org/licenses/CC-BY-ND-2.5.html,,CC-BY-ND-2.5,
200,Creative Commons Attribution No Derivatives 3.0 Unported,https://spdx.org/licenses/CC-BY-ND-3.0.html,,CC-BY-ND-3.0,
201,Creative Commons Attribution No Derivatives 4.0 International,https://spdx.org/licenses/CC-BY-ND-4.0.html,,CC-BY-ND-4.0,
202,Creative Commons Attribution Share Alike 1.0 Generic,https://spdx.org/licenses/CC-BY-SA-1.0.html,,CC-BY-SA-1.0,
203,Creative Commons Attribution Share Alike 2.0 Generic,https://spdx.org/licenses/CC-BY-SA-2.0.html,,CC-BY-SA-2.0,
204,Creative Commons Attribution Share Alike 2.5 Generic,https://spdx.org/licenses/CC-BY-SA-2.5.html,,CC-BY-SA-2.5,
205,Creative Commons Attribution Share Alike 3.0 Unported,https://spdx.org/licenses/CC-BY-SA-3.0.html,,CC-BY-SA-3.0,
206,Creative Commons Attribution-Share Alike 3.0 Austria,https://spdx.org/licenses/CC-BY-SA-3.0-AT.html,,CC-BY-SA-3.0-AT,
207,Creative Commons Attribution Share Alike 4.0 International,https://spdx.org/licenses/CC-BY-SA-4.0.html,,CC-BY-SA-4.0,
208,Creative Commons Public Domain Dedication and Certification,https://spdx.org/licenses/CC-PDDC.html,,CC-PDDC,
209,Creative Commons Zero v1.0 Universal,https://spdx.org/licenses/CC0-1.0.html,,CC0-1.0,
210,Common Development and Distribution License 1.1,https://spdx.org/licenses/CDDL-1.1.html,,CDDL-1.1,
211,Community Data License Agreement Permissive 1.0,https://spdx.org/licenses/CDLA-Permissive-1.0.html,,CDLA-Permissive-1.0,
212,Community Data License Agreement Sharing 1.0,https://spdx.org/licenses/CDLA-Sharing-1.0.html,,CDLA-Sharing-1.0,
213,CeCILL Free Software License Agreement v1.0,https://spdx.org/licenses/CECILL-1.0.html,,CECILL-1.0,
214,CeCILL Free Software License Agreement v1.1,https://spdx.org/licenses/CECILL-1.1.html,,CECILL-1.1,
215,CeCILL Free Software License Agreement v2.0,https://spdx.org/licenses/CECILL-2.0.html,,CECILL-2.0,
216,CeCILL-B Free Software License Agreement,https://spdx.org/licenses/CECILL-B.html,,CECILL-B,
217,CeCILL-C Free Software License Agreement,https://spdx.org/licenses/CECILL-C.html,,CECILL-C,
218,CERN Open Hardware Licence v1.1,https://spdx.org/licenses/CERN-OHL-1.1.html,,CERN-OHL-1.1,
219,CERN Open Hardware Licence v1.2,https://spdx.org/licenses/CERN-OHL-1.2.html,,CERN-OHL-1.2,
220,CERN Open Hardware Licence Version 2 - Permissive,https://spdx.org/licenses/CERN-OHL-P-2.0.html,,CERN-OHL-P-2.0,
221,CERN Open Hardware Licence Version 2 - Strongly Reciprocal,https://spdx.org/licenses/CERN-OHL-S-2.0.html,,CERN-OHL-S-2.0,
222,CERN Open Hardware Licence Version 2 - Weakly Reciprocal,https://spdx.org/licenses/CERN-OHL-W-2.0.html,,CERN-OHL-W-2.0,
223,Clarified Artistic License,https://spdx.org/licenses/ClArtistic.html,,ClArtistic,
224,CNRI Jython License,https://spdx.org/licenses/CNRI-Jython.html,,CNRI-Jython,
225,CNRI Python Open Source GPL Compatible License Agreement,https://spdx.org/licenses/CNRI-Python-GPL-Compatible.html,,CNRI-Python-GPL-Compatible,
226,Condor Public License v1.1,https://spdx.org/licenses/Condor-1.1.html,,Condor-1.1,
227,copyleft-next 0.3.0,https://spdx.org/licenses/copyleft-next-0.3.0.html,,copyleft-next-0.3.0,
228,copyleft-next 0.3.1,https://spdx.org/licenses/copyleft-next-0.3.1.html,,copyleft-next-0.3.1,
229,Code Project Open License 1.02,https://spdx.org/licenses/CPOL-1.02.html,,CPOL-1.02,
230,Crossword License,https://spdx.org/licenses/Crossword.html,,Crossword,
231,CrystalStacker License,https://spdx.org/licenses/CrystalStacker.html,,CrystalStacker,
232,Cube License,https://spdx.org/licenses/Cube.html,,Cube,
233,curl License,https://spdx.org/licenses/curl.html,,curl,
234,Deutsche Freie Software Lizenz,https://spdx.org/licenses/D-FSL-1.0.html,,D-FSL-1.0,
235,diffmark license,https://spdx.org/licenses/diffmark.html,,diffmark,
236,DOC License,https://spdx.org/licenses/DOC.html,,DOC,
237,Dotseqn License,https://spdx.org/licenses/Dotseqn.html,,Dotseqn,
238,DSDP License,https://spdx.org/licenses/DSDP.html,,DSDP,
239,dvipdfm License,https://spdx.org/licenses/dvipdfm.html,,dvipdfm,
240,eGenix.com Public License 1.1.0,https://spdx.org/licenses/eGenix.html,,eGenix,
241,EPICS Open License,https://spdx.org/licenses/EPICS.html,,EPICS,
242,Erlang Public License v1.1,https://spdx.org/licenses/ErlPL-1.1.html,,ErlPL-1.1,
243,Etalab Open License 2.0,https://spdx.org/licenses/etalab-2.0.html,,etalab-2.0,
244,European Union Public License 1.0,https://spdx.org/licenses/EUPL-1.0.html,,EUPL-1.0,
245,European Union Public License 1.2,https://spdx.org/licenses/EUPL-1.2.html,,EUPL-1.2,
246,Eurosym License,https://spdx.org/licenses/Eurosym.html,,Eurosym,
247,FreeImage Public License v1.0,https://spdx.org/licenses/FreeImage.html,,FreeImage,
248,FSF All Permissive License,https://spdx.org/licenses/FSFAP.html,,FSFAP,
249,FSF Unlimited License,https://spdx.org/licenses/FSFUL.html,,FSFUL,
250,FSF Unlimited License (with License Retention),https://spdx.org/licenses/FSFULLR.html,,FSFULLR,
251,Freetype Project License,https://spdx.org/licenses/FTL.html,,FTL,
252,GNU Free Documentation License v1.1 only - invariants,https://spdx.org/licenses/GFDL-1.1-invariants-only.html,,GFDL-1.1-invariants-only,
253,GNU Free Documentation License v1.1 or later - invariants,https://spdx.org/licenses/GFDL-1.1-invariants-or-later.html,,GFDL-1.1-invariants-or-later,
254,GNU Free Documentation License v1.1 only - no invariants,https://spdx.org/licenses/GFDL-1.1-no-invariants-only.html,,GFDL-1.1-no-invariants-only,
255,GNU Free Documentation License v1.1 or later - no invariants,https://spdx.org/licenses/GFDL-1.1-no-invariants-or-later.html,,GFDL-1.1-no-invariants-or-later,
256,GNU Free Documentation License v1.1 only,https://spdx.org/licenses/GFDL-1.1-only.html,,GFDL-1.1-only,
257,GNU Free Documentation License v1.1 or later,https://spdx.org/licenses/GFDL-1.1-or-later.html,,GFDL-1.1-or-later,
258,GNU Free Documentation License v1.2 only - invariants,https://spdx.org/licenses/GFDL-1.2-invariants-only.html,,GFDL-1.2-invariants-only,
259,GNU Free Documentation License v1.2 or later - invariants,https://spdx.org/licenses/GFDL-1.2-invariants-or-later.html,,GFDL-1.2-invariants-or-later,
260,GNU Free Documentation License v1.2 only - no invariants,https://spdx.org/licenses/GFDL-1.2-no-invariants-only.html,,GFDL-1.2-no-invariants-only,
261,GNU Free Documentation License v1.2 or later - no invariants,https://spdx.org/licenses/GFDL-1.2-no-invariants-or-later.html,,GFDL-1.2-no-invariants-or-later,
262,GNU Free Documentation License v1.2 only,https://spdx.org/licenses/GFDL-1.2-only.html,,GFDL-1.2-only,
263,GNU Free Documentation License v1.2 or later,https://spdx.org/licenses/GFDL-1.2-or-later.html,,GFDL-1.2-or-later,
264,GNU Free Documentation License v1.3 only - invariants,https://spdx.org/licenses/GFDL-1.3-invariants-only.html,,GFDL-1.3-invariants-only,
265,GNU Free Documentation License v1.3 or later - invariants,https://spdx.org/licenses/GFDL-1.3-invariants-or-later.html,,GFDL-1.3-invariants-or-later,
266,GNU Free Documentation License v1.3 only - no invariants,https://spdx.org/licenses/GFDL-1.3-no-invariants-only.html,,GFDL-1.3-no-invariants-only,
267,GNU Free Documentation License v1.3 or later - no invariants,https://spdx.org/licenses/GFDL-1.3-no-invariants-or-later.html,,GFDL-1.3-no-invariants-or-later,
268,GNU Free Documentation License v1.3 only,https://spdx.org/licenses/GFDL-1.3-only.html,,GFDL-1.3-only,
269,GNU Free Documentation License v1.3 or later,https://spdx.org/licenses/GFDL-1.3-or-later.html,,GFDL-1.3-or-later,
270,Giftware License,https://spdx.org/licenses/Giftware.html,,Giftware,
